@RELATION Sasmos
@ATTRIBUTE class0 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class1 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class2 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class3 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class4 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class5 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class6 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class7 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class8 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class9 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class10 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}

@DATA
guroXoirino,kotompeikon,xwriatikh,pswmiLeuko,anapsuktiko,froutosalata,patates,giaourtiMeli,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiMauro,anapsuktiko,patates,giaourtiMeli,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiMauro,anapsuktiko,nero,patates,turokroketes,giaourtiMeli,?,?
xwriatikh,froutosalata,?,?,?,?,?,?,?,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,patates,turokroketes,pagwto,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,patates,giaourtiMeli,?,?,?
pswmiMauro,xumos,kaisara,aggourontomata,?,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,patates,turokroketes,?,?,?,?,?
saganaki,pswmiMauro,xumos,kaisara,?,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,marouli,pswmiLeuko,anapsuktiko,patates,pagwto,?,?
mpiftekiLaxanikwn,marouli,pswmiPolusporo,anapsuktiko,patates,turokroketes,giaourtiMeli,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,marouli,pswmiLeuko,anapsuktiko,patates,milkshake,?,?
guroKotopoulo,xwriatikh,marouli,nero,patates,giaourtiMeli,milkshake,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,aggourontomata,turokroketes,pagwto,?,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,nero,turokroketes,?,?,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,turokroketes,pagwto,milkshake,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,anapsuktiko,aggourontomata,patates,?,?,?,?
pswmiMauro,xumos,kaisara,aggourontomata,pagwto,giaourtiMeli,?,?,?,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,patates,pagwto,milkshake,?,?,?
guroXoirino,kotompeikon,xwriatikh,marouli,pswmiMauro,anapsuktiko,aggourontomata,patates,giaourtiMeli,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,marouli,pswmiLeuko,anapsuktiko,patates,?,?,?
xwriatikh,pswmiMauro,xumos,kaisara,?,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiLeuko,anapsuktiko,nero,kaisara,patates,pagwto,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,mpura,anapsuktiko,kaisara,patates,milkshake,?
kalamari,xwriatikh,marouli,mpura,nero,patates,milkshake,?,?,?,?
kalamari,xwriatikh,marouli,mpura,aggourontomata,patates,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,patates,pagwto,milkshake,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,aggourontomata,patates,turokroketes,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,mpura,anapsuktiko,nero,patates,giaourtiMeli,?
guroXoirino,kotompeikon,xwriatikh,saganaki,marouli,pswmiLeuko,anapsuktiko,aggourontomata,patates,turokroketes,?
guroKotopoulo,xwriatikh,marouli,patates,giaourtiMeli,?,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,giaourtiMeli,?,?,?,?,?
xwriatikh,aggourontomata,?,?,?,?,?,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,aggourontomata,turokroketes,pagwto,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,marouli,pswmiLeuko,anapsuktiko,patates,turokroketes,milkshake,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,nero,aggourontomata,patates,turokroketes,?
pswmiMauro,aggourontomata,giaourtiMeli,?,?,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,nero,froutosalata,patates,turokroketes
kalamari,turokroketes,giaourtiMeli,?,?,?,?,?,?,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,anapsuktiko,patates,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,froutosalata,patates,turokroketes,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,kaisara,aggourontomata,patates,?,?
saganaki,xumos,?,?,?,?,?,?,?,?,?
saganaki,pswmiMauro,xumos,kaisara,milkshake,?,?,?,?,?,?
guroKotopoulo,saganaki,marouli,pswmiLeuko,nero,xumos,patates,turokroketes,giaourtiMeli,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,froutosalata,turokroketes,giaourtiMeli,?,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,patates,turokroketes,milkshake,?,?,?,?,?
xwriatikh,nero,pagwto,?,?,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,?,?,?
mpiftekiLaxanikwn,marouli,pswmiPolusporo,anapsuktiko,turokroketes,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,milkshake,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,turokroketes,milkshake,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiLeuko,anapsuktiko,froutosalata,patates,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,aggourontomata,patates,turokroketes,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,marouli,pswmiLeuko,anapsuktiko,nero,patates,?,?
guroKotopoulo,xwriatikh,marouli,patates,turokroketes,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,froutosalata,patates,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,nero,kaisara,patates,pagwto,?
kalamari,saganaki,froutosalata,turokroketes,giaourtiMeli,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,aggourontomata,froutosalata,patates,?,?,?,?
kalamari,xwriatikh,marouli,mpura,froutosalata,patates,giaourtiMeli,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,aggourontomata,patates,pagwto,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,pagwto,giaourtiMeli,?,?
mpiftekiLaxanikwn,anapsuktiko,aggourontomata,turokroketes,?,?,?,?,?,?,?
xwriatikh,pswmiMauro,nero,xumos,kaisara,aggourontomata,?,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,aggourontomata,turokroketes,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,froutosalata,patates,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,milkshake,?,?,?
mpiftekiLaxanikwn,saganaki,pswmiPolusporo,anapsuktiko,froutosalata,turokroketes,milkshake,?,?,?,?
mpiftekiLaxanikwn,marouli,pswmiPolusporo,anapsuktiko,froutosalata,turokroketes,?,?,?,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,patates,giaourtiMeli,milkshake,?,?,?
kalamari,xwriatikh,marouli,mpura,nero,froutosalata,patates,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,mpura,anapsuktiko,patates,?,?,?
patates,giaourtiMeli,?,?,?,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,marouli,pswmiLeuko,anapsuktiko,patates,pagwto,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,aggourontomata,patates,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,patates,milkshake,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,giaourtiMeli,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,anapsuktiko,nero,froutosalata,patates,?,?,?
guroKotopoulo,xwriatikh,marouli,nero,patates,giaourtiMeli,?,?,?,?,?
saganaki,pswmiMauro,nero,xumos,kaisara,?,?,?,?,?,?
mpiftekiLaxanikwn,xwriatikh,pswmiMauro,pswmiPolusporo,anapsuktiko,turokroketes,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,kaisara,patates,?,?,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,mpura,anapsuktiko,aggourontomata,patates,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,kaisara,aggourontomata,patates,?,?
kalamari,saganaki,aggourontomata,turokroketes,?,?,?,?,?,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,anapsuktiko,patates,pagwto,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiLeuko,anapsuktiko,kaisara,patates,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,aggourontomata,patates,turokroketes,milkshake,?
guroXoirino,kotompeikon,xwriatikh,pswmiMauro,anapsuktiko,froutosalata,patates,pagwto,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,pagwto,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,nero,patates,?,?,?
mpiftekiLaxanikwn,marouli,anapsuktiko,turokroketes,giaourtiMeli,?,?,?,?,?,?
mpiftekiLaxanikwn,saganaki,pswmiPolusporo,anapsuktiko,patates,turokroketes,giaourtiMeli,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,patates,turokroketes,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,aggourontomata,patates,giaourtiMeli,?,?
pswmiMauro,xumos,kaisara,aggourontomata,froutosalata,giaourtiMeli,?,?,?,?,?
mpiftekiLaxanikwn,saganaki,pswmiPolusporo,anapsuktiko,turokroketes,pagwto,giaourtiMeli,?,?,?,?
mpiftekiLaxanikwn,marouli,pswmiPolusporo,anapsuktiko,turokroketes,?,?,?,?,?,?
xwriatikh,pswmiMauro,xumos,kaisara,?,?,?,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,aggourontomata,patates,giaourtiMeli,?,?,?
marouli,aggourontomata,kotompoukies,?,?,?,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,turokroketes,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,kaisara,patates,pagwto,giaourtiMeli,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,nero,aggourontomata,froutosalata,turokroketes,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiMauro,anapsuktiko,patates,turokroketes,giaourtiMeli,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,kaisara,patates,turokroketes,?,?
mpiftekiLaxanikwn,mpura,patates,milkshake,?,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiLeuko,anapsuktiko,nero,froutosalata,patates,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,mpura,anapsuktiko,froutosalata,patates,?,?
saganaki,pswmiMauro,nero,xumos,kaisara,milkshake,?,?,?,?,?
guroKotopoulo,saganaki,pswmiLeuko,xumos,aggourontomata,patates,giaourtiMeli,?,?,?,?
pswmiMauro,xumos,kaisara,pagwto,?,?,?,?,?,?,?
guroKotopoulo,saganaki,pswmiLeuko,xumos,patates,giaourtiMeli,milkshake,?,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,turokroketes,?,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiLeuko,xumos,patates,?,?,?,?
guroKotopoulo,saganaki,marouli,pswmiLeuko,xumos,patates,milkshake,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,froutosalata,patates,milkshake
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,turokroketes,milkshake,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,aggourontomata,patates,turokroketes,?,?
pswmiMauro,xumos,kaisara,aggourontomata,froutosalata,pagwto,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,patates,giaourtiMeli,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,marouli,pswmiLeuko,anapsuktiko,froutosalata,patates,milkshake,?
pswmiMauro,xumos,kaisara,aggourontomata,?,?,?,?,?,?,?
pswmiMauro,nero,xumos,kaisara,patates,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,aggourontomata,patates,pagwto,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,turokroketes,pagwto,?,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,aggourontomata,patates,pagwto,?,?,?,?
mpiftekiLaxanikwn,pswmiMauro,pswmiPolusporo,anapsuktiko,turokroketes,pagwto,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,nero,froutosalata,patates,pagwto,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,aggourontomata,turokroketes,giaourtiMeli,milkshake,?,?,?,?
guroKotopoulo,saganaki,pswmiLeuko,xumos,patates,turokroketes,giaourtiMeli,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,patates,pagwto,milkshake,?,?
patates,milkshake,?,?,?,?,?,?,?,?,?
nero,aggourontomata,patates,?,?,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiLeuko,anapsuktiko,kaisara,patates,giaourtiMeli,milkshake,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,marouli,pswmiLeuko,anapsuktiko,kaisara,patates,?,?
marouli,pswmiMauro,xumos,kaisara,aggourontomata,froutosalata,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,pagwto,milkshake,?,?
pswmiMauro,nero,xumos,kaisara,?,?,?,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,turokroketes,giaourtiMeli,?,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,pagwto,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,turokroketes,?,?,?,?,?
saganaki,pswmiMauro,xumos,kaisara,pagwto,?,?,?,?,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,patates,?,?,?,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,patates,giaourtiMeli,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiLeuko,anapsuktiko,patates,giaourtiMeli,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,nero,patates,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,marouli,pswmiLeuko,anapsuktiko,kaisara,patates,?,?
kalamari,xwriatikh,marouli,mpura,aggourontomata,patates,pagwto,?,?,?,?
kalamari,xwriatikh,marouli,mpura,anapsuktiko,patates,pagwto,milkshake,?,?,?
xwriatikh,aggourontomata,froutosalata,kotompoukies,?,?,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,nero,froutosalata,patates,?,?,?,?
pswmiMauro,xumos,kaisara,aggourontomata,froutosalata,?,?,?,?,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,aggourontomata,patates,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,nero,aggourontomata,patates,milkshake,?,?,?
mpiftekiLaxanikwn,xwriatikh,pswmiPolusporo,anapsuktiko,patates,turokroketes,pagwto,?,?,?,?
mpiftekiLaxanikwn,marouli,pswmiMauro,pswmiPolusporo,anapsuktiko,aggourontomata,froutosalata,turokroketes,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,mpura,anapsuktiko,froutosalata,patates,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,kaisara,patates,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,aggourontomata,patates,turokroketes,giaourtiMeli,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,turokroketes,pagwto,?,?,?,?,?,?
mpiftekiLaxanikwn,marouli,pswmiPolusporo,anapsuktiko,turokroketes,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,kaisara,patates,pagwto,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,kaisara,patates,turokroketes,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,marouli,pswmiLeuko,anapsuktiko,froutosalata,patates,?,?
pswmiMauro,xumos,kaisara,patates,pagwto,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiLeuko,anapsuktiko,kaisara,patates,pagwto,?,?,?
pswmiMauro,xumos,kaisara,pagwto,giaourtiMeli,?,?,?,?,?,?
mpiftekiLaxanikwn,xwriatikh,?,?,?,?,?,?,?,?,?
guroKotopoulo,saganaki,pswmiLeuko,nero,xumos,patates,turokroketes,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,patates,giaourtiMeli,?,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,froutosalata,turokroketes,giaourtiMeli,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiLeuko,anapsuktiko,aggourontomata,patates,?,?,?,?
saganaki,pswmiMauro,nero,xumos,kaisara,aggourontomata,?,?,?,?,?
guroXoirino,aggourontomata,?,?,?,?,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,milkshake,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,milkshake,?,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,froutosalata,patates,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,nero,kaisara,patates,?
guroKotopoulo,saganaki,pswmiLeuko,nero,xumos,patates,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,froutosalata,patates,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,marouli,pswmiLeuko,anapsuktiko,patates,milkshake,?,?
guroKotopoulo,xwriatikh,marouli,froutosalata,patates,giaourtiMeli,?,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,pswmiLeuko,xumos,aggourontomata,patates,turokroketes,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,nero,turokroketes,milkshake,?,?,?,?,?
pswmiMauro,xumos,kaisara,aggourontomata,giaourtiMeli,?,?,?,?,?,?
saganaki,pswmiMauro,xumos,kaisara,aggourontomata,froutosalata,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,aggourontomata,patates,?,?,?
kalamari,xwriatikh,marouli,mpura,aggourontomata,patates,?,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,turokroketes,pagwto,milkshake,?,?,?,?,?
marouli,pswmiMauro,xumos,kaisara,patates,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,patates,pagwto,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,kaisara,patates,?,?,?,?,?
guroKotopoulo,kotompeikon,kaisara,?,?,?,?,?,?,?,?
mpiftekiLaxanikwn,saganaki,marouli,pswmiMauro,pswmiPolusporo,anapsuktiko,nero,turokroketes,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,nero,froutosalata,patates,turokroketes,?
mpiftekiLaxanikwn,mpura,patates,?,?,?,?,?,?,?,?
pswmiMauro,nero,xumos,kaisara,pagwto,?,?,?,?,?,?
marouli,pswmiMauro,xumos,kaisara,?,?,?,?,?,?,?
marouli,pswmiMauro,xumos,kaisara,pagwto,?,?,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,aggourontomata,turokroketes,milkshake,?,?,?,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,froutosalata,patates,turokroketes,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,patates,turokroketes,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,patates,milkshake,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,kaisara,patates,pagwto,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,patates,giaourtiMeli,?,?,?,?
xwriatikh,nero,kaisara,?,?,?,?,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,mpura,anapsuktiko,patates,giaourtiMeli,?,?
kalamari,xwriatikh,marouli,mpura,anapsuktiko,nero,patates,pagwto,?,?,?
mpiftekiLaxanikwn,marouli,pswmiMauro,pswmiPolusporo,anapsuktiko,turokroketes,giaourtiMeli,milkshake,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,aggourontomata,patates,pagwto,?,?,?,?
guroKotopoulo,saganaki,pswmiLeuko,nero,xumos,froutosalata,patates,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,pswmiLeuko,xumos,aggourontomata,froutosalata,patates,giaourtiMeli,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,aggourontomata,patates,giaourtiMeli,?,?
guroKotopoulo,saganaki,pswmiLeuko,nero,xumos,froutosalata,patates,milkshake,?,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,aggourontomata,patates,?,?,?,?
mpiftekiLaxanikwn,saganaki,pswmiMauro,pswmiPolusporo,anapsuktiko,turokroketes,?,?,?,?,?
guroKotopoulo,saganaki,pswmiLeuko,xumos,froutosalata,patates,giaourtiMeli,?,?,?,?
mpiftekiLaxanikwn,xwriatikh,pswmiPolusporo,anapsuktiko,turokroketes,milkshake,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiLeuko,anapsuktiko,kaisara,patates,turokroketes,milkshake,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,kaisara,froutosalata,patates,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,aggourontomata,patates,giaourtiMeli,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,kaisara,patates,pagwto,milkshake,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,patates,giaourtiMeli,?,?
marouli,kotompoukies,turokroketes,pagwto,?,?,?,?,?,?,?
saganaki,pswmiMauro,xumos,kaisara,froutosalata,pagwto,?,?,?,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,patates,?,?,?,?,?
anapsuktiko,kaisara,turokroketes,?,?,?,?,?,?,?,?
guroXoirino,kaisara,aggourontomata,pagwto,?,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,turokroketes,pagwto,?,?
mpiftekiLaxanikwn,xwriatikh,pswmiPolusporo,anapsuktiko,turokroketes,?,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,turokroketes,?,?,?,?,?
nero,froutosalata,turokroketes,giaourtiMeli,?,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,patates,giaourtiMeli,?,?,?,?,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,patates,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,giaourtiMeli,?,?,?,?,?
saganaki,patates,turokroketes,giaourtiMeli,?,?,?,?,?,?,?
